platform,search_query,store_id,product_id,variant_id,name,brand,mrp,price,quantity,in_stock,inventory,max_allowed_quantity,category,sub_category,images,organic_rank,rating
blinkit,Perfume and Deodrants,37330,241069,241069,Set Wet Cool Avatar Body Spray Perfume & Men's Deodorant,Set Wet,265,102,150 ml,True,1,1,Deodorant,Men's Deodorant,https://cdn.grofers.com/da/cms-assets/cms/product/9ede30e0-98e1-451b-a212-e6577595b894.png;https://cdn.grofers.com/da/cms-assets/cms/product/40447854-a484-4f14-81ff-a40241d3ae5a.png;https://cdn.grofers.com/da/cms-assets/cms/product/c287e67f-2d52-4da1-ac7b-196b3d70dcbc.png;https://cdn.grofers.com/da/cms-assets/cms/product/f84f7d6b-424f-4a15-839c-d18da9121230.png;https://cdn.grofers.com/da/cms-assets/cms/product/8b778dbe-7706-4fe2-8d4b-941f5496baf3.png;https://cdn.grofers.com/da/cms-assets/cms/product/211e2292-a28d-4d90-b5f1-6fec2b02a520.png;https://cdn.grofers.com/da/cms-assets/cms/product/0586b059-a77f-4b49-a401-bfa1aa7ddda8.png;https://cdn.grofers.com/da/cms-assets/cms/product/b370bdc4-d676-45ad-8dbc-1b27053733c6.png;https://cdn.grofers.com/da/cms-assets/cms/product/f3858ca1-4473-4e5c-87ee-80f063e007ed.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,1,4.453000
blinkit,Perfume and Deodrants,37330,497877,497877,Denver Hamilton Deodorant & Perfume Gift Set,Denver,725,473,1 pack,True,1,1,Bath & Beauty Gifts,Perfume Gift Set,https://cdn.grofers.com/da/cms-assets/cms/product/590dd8e0-cfab-4e14-bf79-d86107e1cd53.png;https://cdn.grofers.com/da/cms-assets/cms/product/ce7402f6-dded-4480-97ef-5256fad0cf76.png;https://cdn.grofers.com/da/cms-assets/cms/product/d5555323-4dda-4eae-b1ea-16b324203e25.png;https://cdn.grofers.com/da/cms-assets/cms/product/d5a1feba-645d-4b72-8a95-3685513afb96.png;https://cdn.grofers.com/da/cms-assets/cms/product/3e076ade-7b49-46f9-84e4-1bb0ac6657ce.png;https://cdn.grofers.com/da/cms-assets/cms/product/f782600b-d53d-4615-917f-93bf7c72f44d.png;https://cdn.grofers.com/da/cms-assets/cms/product/cfd65641-74c7-4c44-808c-f8f06fb9bea8.png;https://cdn.grofers.com/da/cms-assets/cms/product/0b3f369f-4910-4bab-89e9-0c5d5c31d608.png;https://cdn.grofers.com/da/cms-assets/cms/product/35515721-0f39-41bb-8dc3-9d966997a482.png;https://cdn.grofers.com/da/cms-assets/cms/product/b21dfb75-9dc4-4a80-adbc-739e204fc49d.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,2,4.676000
blinkit,Perfume and Deodrants,37330,576565,576565,Ajmal Perfume Women's Deodorant (Sacred Love),Ajmal,399,167,200 ml,True,1,1,Deodorant,Women's Deodorant,https://cdn.grofers.com/da/cms-assets/cms/product/c518bccc-41c3-44e1-a472-fad67dcc1e21.png;https://cdn.grofers.com/da/cms-assets/cms/product/619d040b-e783-45fb-888b-16ccd149aec2.png;https://cdn.grofers.com/da/cms-assets/cms/product/7bf251a1-305d-43b6-9bf8-7a0bcc93be1e.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,3,4.105000
blinkit,Perfume and Deodrants,37330,544362,544362,Bombay Shaving Company Desire Men's Deodorant,Bombay Shaving Company,355,98,150 ml,True,1,1,Deodorant,Men's Deodorant,https://cdn.grofers.com/da/cms-assets/cms/product/65b47be4-4341-40b9-9630-b680b08a297c.png;https://cdn.grofers.com/da/cms-assets/cms/product/8bca95dc-5d4c-414b-81bc-5916f1d33593.png;https://cdn.grofers.com/da/cms-assets/cms/product/f647e52b-47f8-4973-bb0b-319d46a6f814.png;https://cdn.grofers.com/da/cms-assets/cms/product/c42b2a8b-ee9a-47cc-abba-c9ce4295881f.png;https://cdn.grofers.com/da/cms-assets/cms/product/19a2810e-df70-47db-ba4d-87ae9680a970.png;https://cdn.grofers.com/da/cms-assets/cms/product/d6ec03c0-3b83-4879-8f6f-75517ca3689f.png;https://cdn.grofers.com/da/cms-assets/cms/product/cc9047d8-693b-478d-a285-4ec3c34c7b4a.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,4,4.532000
blinkit,Perfume and Deodrants,33415,482639,482639,Spinz Enchante Perfumed Women's Deodorant (International Fragrances),Spinz,280,168,200 ml,True,3,3,Deodorant,Women's Deodorant,https://cdn.grofers.com/da/cms-assets/cms/product/2ce9bf2f-4a76-442d-af49-c2937be4cf6d.png;https://cdn.grofers.com/da/cms-assets/cms/product/6121bd2a-f222-4a3f-b8ab-671c097828f6.png;https://cdn.grofers.com/da/cms-assets/cms/product/209377fd-38ad-4397-a77a-d10ce6f3dd3f.png;https://cdn.grofers.com/da/cms-assets/cms/product/bd07f30e-05d4-418f-9daf-57dd08a182b0.png;https://cdn.grofers.com/da/cms-assets/cms/product/14ee6c5a-2c0a-4242-b88e-3cc23d3e876a.png;https://cdn.grofers.com/da/cms-assets/cms/product/987836bc-2d3a-4c85-9528-eafe0824f2f0.png;https://cdn.grofers.com/da/cms-assets/cms/product/f5627424-90ce-44f5-90b6-b1692f4c24d5.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,5,4.435000
blinkit,Perfume and Deodrants,37330,482638,482638,Spinz Exotic Perfumed Women's Deodorant (Bulgarian Rose),Spinz,280,168,200 ml,True,3,3,Deodorant,Women's Deodorant,https://cdn.grofers.com/da/cms-assets/cms/product/0e34e549-1522-4459-903f-22d7e7430926.png;https://cdn.grofers.com/da/cms-assets/cms/product/7ba1483a-af9b-46cb-b860-6676b8bedb14.png;https://cdn.grofers.com/da/cms-assets/cms/product/e584f281-b5d8-4489-bff1-16cfebee926a.png;https://cdn.grofers.com/da/cms-assets/cms/product/a63a496d-9b4d-4cbf-8fc7-3882b8702d71.png;https://cdn.grofers.com/da/cms-assets/cms/product/49c2f7e5-6ed9-484d-beca-7e0633ecdd79.png;https://cdn.grofers.com/da/cms-assets/cms/product/253231c0-95c3-4792-bd18-250541cbd52c.png;https://cdn.grofers.com/da/cms-assets/cms/product/e21340c5-a116-434c-aeab-ce6985e87a18.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,6,4.755000
blinkit,Perfume and Deodrants,37330,668278,668278,Engage Urge Deodorant,Engage,360,234,220 ml,True,1,1,Deodorant,Deodorant,https://cdn.grofers.com/da/cms-assets/cms/product/d115493f-b2ad-4d2b-9e28-9aeecb314190.png;https://cdn.grofers.com/da/cms-assets/cms/product/2ac8e516-28a0-4390-83e4-a7f12387e98a.png;https://cdn.grofers.com/da/cms-assets/cms/product/a7fb27c9-4540-4a13-8e5b-94e09061fb0a.png;https://cdn.grofers.com/da/cms-assets/cms/product/42681438-aee0-4453-b7c9-c3d1c028e7ce.png;https://cdn.grofers.com/da/cms-assets/cms/product/1c1430bb-f50c-4c12-93b4-571db2c22922.png;https://cdn.grofers.com/da/cms-assets/cms/product/d7f652a6-ba0d-4d4f-b88a-fb07094fe791.png;https://cdn.grofers.com/da/cms-assets/cms/product/a09852d1-276a-4585-a187-f7ecae299757.png;https://cdn.grofers.com/da/cms-assets/cms/product/c35aa5e8-ca41-4275-a206-22000c51705a.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,7,0
blinkit,Perfume and Deodrants,37330,668280,668280,Engage Mate Deodorant,Engage,350,228,220 ml,True,1,1,Deodorant,Deodorant,https://cdn.grofers.com/da/cms-assets/cms/product/3e551daa-a6e0-43db-b53e-c997e52428ef.png;https://cdn.grofers.com/da/cms-assets/cms/product/86228da7-2507-43de-b7c0-3d9d9b1ee1f9.png;https://cdn.grofers.com/da/cms-assets/cms/product/7175184d-ba47-4860-833b-3f14f7aa46ed.png;https://cdn.grofers.com/da/cms-assets/cms/product/3713bcd6-ab6f-4333-9078-859bbb402de0.png;https://cdn.grofers.com/da/cms-assets/cms/product/0729f0ba-bb6c-46cf-9d3b-9fa1fa6ab9ce.png;https://cdn.grofers.com/da/cms-assets/cms/product/9dc1c5dc-dcfa-40dd-b790-bfd65613bf6b.png;https://cdn.grofers.com/da/cms-assets/cms/product/cd95f4b4-1269-45ec-9198-4a9b3d11f5b7.png;https://cdn.grofers.com/da/cms-assets/cms/product/17c97ede-7ee6-4144-ad8f-e48c2ac34baf.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,8,0
blinkit,Perfume and Deodrants,37330,544364,544364,Bombay Shaving Company Noir Men's Deodorant,Bombay Shaving Company,355,98,150 ml,True,4,4,Deodorant,Men's Deodorant,https://cdn.grofers.com/da/cms-assets/cms/product/3699f987-2115-4c57-929d-1066abdc28c1.png;https://cdn.grofers.com/da/cms-assets/cms/product/598c72aa-53c7-45bb-9e1f-0c411c578cf3.png;https://cdn.grofers.com/da/cms-assets/cms/product/75805d0e-d313-4576-9075-cbaaa7e21f2c.png;https://cdn.grofers.com/da/cms-assets/cms/product/0f888e05-24e8-423b-b31c-abc0e72b58eb.png;https://cdn.grofers.com/da/cms-assets/cms/product/81fecc3f-e171-4ca3-a877-8209e0fc4c85.png;https://cdn.grofers.com/da/cms-assets/cms/product/3c4d5b57-3b80-4618-9309-a3b38f6befd2.png;https://cdn.grofers.com/da/cms-assets/cms/product/adae8463-e7e9-4772-b689-8462b8757429.png;https://cdn.grofers.com/da/cms-assets/cms/product/271cdef0-af58-45ea-9263-9b9adffa2c69.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,9,4.457000
blinkit,Perfume and Deodrants,37330,365871,365871,Engage On Cool Marine Men's Pocket Perfume,Engage On,70,69,17 ml,True,6,6,Deodorant,Men's Pocket Perfume,https://cdn.grofers.com/da/cms-assets/cms/product/3520c95b-2545-408c-9288-9a66413fda64.png;https://cdn.grofers.com/da/cms-assets/cms/product/856c14d4-71c9-4647-9828-e2ec6494ad5a.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/ce158dcc-1427-4347-84a2-0a989d04ccc6.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/a551db69-cf1a-4171-9761-5c4fd6c0e924.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/112ddfbd-73bf-436a-988d-967b74c4c3c1.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/2038506b-b433-4978-857b-562540d2b635.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/1415cef2-9fff-4877-811e-1695fa04a5f3.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/d805f293-1f50-4e54-b41e-7c26900bc572.jpg;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,10,4.489000
blinkit,Perfume and Deodrants,37330,649985,649985,Rexona Shower Fresh Deodorant,Rexona,299,165,200 ml,True,1,1,Deodorant,Deodorant,https://cdn.grofers.com/da/cms-assets/cms/product/3557020c-fc1a-4302-9906-0000bed524eb.png;https://cdn.grofers.com/da/cms-assets/cms/product/c17b6f49-ff78-47b4-afe4-d478f24153b4.png;https://cdn.grofers.com/da/cms-assets/cms/product/ccc5d534-62d6-4c8c-974c-d3c0f2629f13.png;https://cdn.grofers.com/da/cms-assets/cms/product/85d9c950-a90f-43b3-a40c-66cffd3d4707.png;https://cdn.grofers.com/da/cms-assets/cms/product/5465c5e5-1983-4367-98de-1a55152d60c0.png;https://cdn.grofers.com/da/cms-assets/cms/product/a20c5adf-d534-4eac-b84a-ec53c984482f.png;https://cdn.grofers.com/da/cms-assets/cms/product/3843eddf-b7db-4802-8446-ce9255c48837.png;https://cdn.grofers.com/da/cms-assets/cms/product/571e622c-83c2-4f8b-ad64-0989d7c830b4.png;https://cdn.grofers.com/da/cms-assets/cms/product/b2d027ae-fca7-4840-8b7b-691f9fcbfc7e.png;https://cdn.grofers.com/da/cms-assets/cms/product/35db6b87-17de-4fc4-aadc-a2a4dcb0b101.png;https://cdn.grofers.com/da/cms-assets/cms/product/c2178bea-f2bf-4817-8b4f-3634c8edaad7.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,11,3.925000
blinkit,Perfume and Deodrants,37330,638469,638469,Giordano Neon Nights Deodorant,Giordano,490,370,200 ml,True,1,1,Deodorant,Deodorant,https://cdn.grofers.com/da/cms-assets/cms/product/0951e9a2-15a9-4f12-ae73-e29d5d2dee5b.png;https://cdn.grofers.com/da/cms-assets/cms/product/39cf33a3-f538-4733-be2d-390a480225a5.png;https://cdn.grofers.com/da/cms-assets/cms/product/56da4f69-c28f-4f01-8da6-a91384733af2.png;https://cdn.grofers.com/da/cms-assets/cms/product/7210bb5f-4529-41de-a59a-58a4b246982e.png;https://cdn.grofers.com/da/cms-assets/cms/product/130f7ca8-36d8-4216-a773-c3ecb29c16d2.png;https://cdn.grofers.com/da/cms-assets/cms/product/9eacc213-4e18-427a-89f8-d63143216492.png;https://cdn.grofers.com/da/cms-assets/cms/product/888193b3-d693-4819-8561-889a4a6345c4.png;https://cdn.grofers.com/da/cms-assets/cms/product/50d5661f-23d6-4504-a52e-853a0ab099a6.png;https://cdn.grofers.com/da/cms-assets/cms/product/6c2709f0-e267-4de5-b321-547f31edbf2c.png;https://cdn.grofers.com/da/cms-assets/cms/product/3b288fd3-28d3-41fd-944c-a3dc545add9c.png;https://cdn.grofers.com/da/cms-assets/cms/product/4761f134-00be-4871-b67e-752345a5fe1e.png;https://cdn.grofers.com/da/cms-assets/cms/product/510b516d-ccaf-4391-834b-b1363b4d29e5.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,12,0
