platform,search_query,store_id,product_id,variant_id,name,brand,mrp,price,quantity,in_stock,inventory,max_allowed_quantity,category,sub_category,images,organic_rank,rating
blinkit,Fruits,30638,504259,504259,Farmley Date Bites Dry Fruit (No Added Sugar),Farmley,400,349,200 g,True,4,4,Dates,Bites,https://cdn.grofers.com/da/cms-assets/cms/product/707fcedd-f16e-4bba-8fab-8579058b8aaf.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/7d5cd5c0-5075-4ea2-9453-242f26f5461f.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/8a48903e-fe0c-4883-aa58-5edbb22aaae2.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/ca7d764e-a23a-4545-b155-3b3b6b7032c3.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/ef70a0c3-9b3c-4e45-add2-72df795c4659.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/1e8a6cf8-88df-4ac7-9c2d-556b2068c036.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/d809d8b2-72bb-44b1-815b-5fed35f7e083.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/71075139-8d1a-49c3-960b-6f41569c7806.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/0fff6d16-f4a6-4618-9b4f-889cfabf323a.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/7c5aed2b-e53b-4b4a-8989-adbc71fcb287.jpg?ts=1739190571,1,4.758000
blinkit,Fruits,30638,184269,184269,Jamun,,62,48,(250-280) g,True,50,50,Fresh Fruits,Jamun,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/876b89b9-9c7d-4f7d-9fc3-974de0ac65af.jpg?ts=1714125339;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/d78a4af7-dcc6-4019-9d52-b60291b251e7.jpg?ts=1714125339;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/e732e5ab-b716-49be-8ed0-0bc8524ced31.jpg;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/3716e7dc-5fd9-4bdf-bf2f-bbb6bc8eaefd.jpg,2,0
blinkit,Fruits,30638,424416,424416,Yellaki Banana (Yellaki Baale Hannu),,82,59,(500-550) g,True,40,40,Fresh Fruits,Banana,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/59e59840-74be-473f-94d4-56ccd8791b11.jpg?ts=1718267338;https://cdn.grofers.com/app/images/products/sliding_image/424416b.jpg?ts=1697346451,3,0
blinkit,Fruits,30638,294599,294599,Mini Orange (Kittale Hannu),,123,97,250 g,True,26,26,Exotics,Orange,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/26b5e48e-c7ac-4553-80a9-359a8f88a78a.jpg?ts=1711473134;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/88a9ff5a-9290-40c7-8766-3425f7de8b39.jpg?ts=1711473134;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/ec3c64c9-62c6-4ece-bf03-227adc20be21.jpg?ts=1711473134;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/cb66b3bd-172c-492f-a8d2-347ce7fe0ff4.jpg?ts=1711473134,4,0
blinkit,Fruits,30638,491445,491445,Farmley Panchmeva Panchmeva (Dry Fruit Mishrana),Farmley,549,356,405 g,True,9,9,Dry Fruit Assortment,Panchmeva,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/4cb83cf6-8ce8-44ad-961a-e04f722fb8f7.jpg?ts=1707289474;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/81ff1a33-1b16-4a3b-8bda-2e4ec1c57b91.jpg?ts=1707289474;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/81104d58-5e32-4723-9b30-0dd754d03dd2.jpg?ts=1707289474;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/a6e28dfc-a125-46fd-bb05-466339dfc740.jpg?ts=1707289474;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/96447b7b-2ff2-4b1e-8aaa-0106179e54fa.jpg?ts=1707289474;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/5cb82edb-1d7a-4b95-a5d3-cbed76ff3b18.jpg?ts=1707289474;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/34295e2e-f83d-4112-a831-52b84145c4fe.jpg?ts=1707289474;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/72cd307c-c818-42ed-bc6b-3851f0598f59.jpg?ts=1707289474;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/cd8611c3-5787-44e9-8f9a-66ff7ebe285f.jpg?ts=1707289474;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/ef545d70-9418-419f-8e90-fd038d279fbf.jpg?ts=1707289474,5,4.616000
blinkit,Fruits,30638,465965,465965,Pear Nashpati - Himachal (Marasebu),,117,88,(500-600) g,True,3,3,Fresh Fruits,Pear,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/ff98ff54-6e60-4f2b-84c4-f39e3488a492.jpg?ts=1724820766;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/b4d11885-8c3f-4f67-8f5a-f4d65d780f8b.jpg?ts=1724820767;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/f0bb4d01-ef0f-425a-acb5-845f1896f549.jpg;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/9ffb78eb-03f4-48d7-9ab3-156615657f7e.jpg,6,0
blinkit,Fruits,30638,294780,294780,Dragon Fruit,,86,69,1 piece (300-400 g),True,7,7,Exotics,Dragon Fruit,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/daf1076e-f731-4650-831c-513bb8f08403.jpg?ts=1711473134;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/40661286-0b45-4b2a-9ab0-6023bdd3f955.jpg?ts=1711473134;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/89dcde92-b763-4d54-bf3e-43b6dcbb0a69.jpg?ts=1711473134;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/115b4c19-fa52-43a6-88d4-5f2a3429987f.jpg?ts=1711473134;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/c83008a3-9888-4839-b6fa-45c32736c502.jpg?ts=1711473134,7,0
blinkit,Fruits,30638,184277,184277,Pomegranate Peeled (Sulida Dalimbe Hannu),,149,99,100 g,True,5,5,Freshly Cut & Sprouts,Pomegranate,https://cdn.grofers.com/da/cms-assets/cms/product/3169156c-c99e-4bda-91eb-b1e6243058a6.jpg?ts=1748844248;https://cdn.grofers.com/da/cms-assets/cms/product/21515f86-56c8-4755-899a-5bf5e236a28c.jpg?ts=1748844248;https://cdn.grofers.com/da/cms-assets/cms/product/e700156d-72cb-4cee-9387-64869c6e3797.jpg?ts=1748844248;https://cdn.grofers.com/da/cms-assets/cms/product/c6120095-91cb-4332-b895-eca05d3250bc.jpg?ts=1748844248;https://cdn.grofers.com/da/cms-assets/cms/product/bd60933e-654f-4cf4-baa2-e9ebec4ac506.jpg?ts=1748844248,8,0
blinkit,Fruits,30638,4005,4005,Pomegranate Peeled (Dalimbe Hannu),,235,139,200 g,True,0,0,Freshly Cut & Sprouts,Pomegranate,https://cdn.grofers.com/da/cms-assets/cms/product/1e13c52e-cc99-4175-ab4b-9291ce76578c.jpg?ts=1748844264;https://cdn.grofers.com/da/cms-assets/cms/product/ae8e2fec-073d-4463-939a-3d96dfd1a412.jpg?ts=1748844264;https://cdn.grofers.com/da/cms-assets/cms/product/348059ab-08eb-454e-9106-811983849319.jpg?ts=1748844264;https://cdn.grofers.com/da/cms-assets/cms/product/700612da-eb6f-417e-925b-5a7bb4c4b34a.jpg?ts=1748844264;https://cdn.grofers.com/da/cms-assets/cms/product/d2e11b74-ad9b-4b8c-9858-9049512e3ef6.jpg?ts=1748844264,8,0
blinkit,Fruits,30638,490817,490817,Farmley 8-In-1 Berries Mix,Farmley,349,270,200 g,True,2,2,Dry Fruit Assortment,Berries Mix,https://cdn.grofers.com/da/cms-assets/cms/product/b11c47b7-c5f7-47fe-b7d5-3fdafffaeb41.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/4c758c92-e648-482e-974d-d03dcfeaa282.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/e71d6aea-ee01-4ea3-a76d-041a53af9aa7.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/e45a1b08-ae23-4695-9b08-a8ad2bf26168.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/e0b6dade-b820-49c0-bb9b-47a362ea5c98.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/8017ae4f-09ea-4595-83b5-bb0763c92ec6.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/fd76c2cf-54f5-4022-a574-8e2df8a44e82.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/99fe3835-b7cb-46a4-83fe-3c53fa1d2a3f.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/04af9b53-e66d-46ef-95a1-3e0458dde9cb.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/eca1988e-58c3-4a17-914f-30c7d6cc8d76.jpg?ts=1739449778,9,4.642000
