platform,search_query,store_id,product_id,variant_id,name,brand,mrp,price,quantity,in_stock,inventory,max_allowed_quantity,category,sub_category,images,organic_rank,rating
blinkit,Household Insecticides,30566,647324,647324,TrustBasket Plants Neem Oil Spray for Pest Control,TrustBasket,1199,179,500 ml,True,6,6,Gardening,Fertilizer,https://cdn.grofers.com/da/cms-assets/cms/product/0fa9262d-4536-4242-b2ac-9edb96d7ef01.jpg?ts=1744618795;https://cdn.grofers.com/da/cms-assets/cms/product/874f6d13-67eb-419c-8e24-15d0a072817f.jpg?ts=1744618796;https://cdn.grofers.com/da/cms-assets/cms/product/239e8a31-634b-4c86-9eb1-011ba4ea4199.jpg?ts=1744618796;https://cdn.grofers.com/da/cms-assets/cms/product/0b6b51de-aa19-4f01-ad9b-517522b01f17.jpg?ts=1744618798;https://cdn.grofers.com/da/cms-assets/cms/product/133e83a3-d6a4-4a06-89cd-43d3c424414c.jpg?ts=1744618815,1,4.303000
blinkit,Household Insecticides,30566,650312,650312,Mr. Right Multipurpose Herbal Pest Control Spray,Mr. Right,349,299,100 ml,True,3,3,Sprays,Pest Control,https://cdn.grofers.com/da/cms-assets/cms/product/e064ad53-08d6-40c4-bb33-5f58c9bde107.jpg?ts=1745676361;https://cdn.grofers.com/da/cms-assets/cms/product/ffc2ddd8-ce21-4ce9-be8b-170b8ed66f96.jpg?ts=1745676362;https://cdn.grofers.com/da/cms-assets/cms/product/90e16cd5-d012-4d18-91fd-96d88b78e5b4.jpg?ts=1745676363;https://cdn.grofers.com/da/cms-assets/cms/product/9085770a-4ce7-409a-92f5-05164f3d9544.jpg?ts=1745676363;https://cdn.grofers.com/da/cms-assets/cms/product/03716d0e-3ad0-4937-88d8-9ccc2110bc9c.jpg?ts=1745676364;https://cdn.grofers.com/da/cms-assets/cms/product/37d927be-17d8-40a5-a275-ab8adc182aeb.jpg?ts=1745676364;https://cdn.grofers.com/da/cms-assets/cms/product/c1fe030f-ceb5-4143-9d65-51925baf9538.jpg?ts=1745676365;https://cdn.grofers.com/da/cms-assets/cms/product/373f8a7e-81ff-417f-a0eb-8d3783bb5b4b.jpg?ts=1745676365;https://cdn.grofers.com/da/cms-assets/cms/product/92e7b35c-bcd8-4b20-a63b-fb40f75eae79.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/257ee0e4-712c-469e-a8e8-26fd8d97f325.jpg,2,0
blinkit,Household Insecticides,30566,650322,650322,Mr. Right Multipurpose Herbal Pest Control Spray,Mr. Right,599,549,200 ml,True,1,1,Sprays,Pest Control,https://cdn.grofers.com/da/cms-assets/cms/product/82a247d3-5a8c-4f73-b9af-12fc44ee9b7c.jpg?ts=1745676375;https://cdn.grofers.com/da/cms-assets/cms/product/c2e3b09a-6a49-4afd-9646-2c23ffe5b4c1.jpg?ts=1745676376;https://cdn.grofers.com/da/cms-assets/cms/product/faca0661-6bb9-4254-abe2-68a528ffba67.jpg?ts=1745676377;https://cdn.grofers.com/da/cms-assets/cms/product/a3d9cc33-f3fc-43b9-a52e-0874a77b480c.jpg?ts=1745676377;https://cdn.grofers.com/da/cms-assets/cms/product/8836533b-b413-4608-9507-7e771fb43c9d.jpg?ts=1745676378;https://cdn.grofers.com/da/cms-assets/cms/product/61d1dc28-897e-4201-a8df-81970286d0eb.jpg?ts=1745676378;https://cdn.grofers.com/da/cms-assets/cms/product/b001cf91-dd63-4df6-8bf4-77ceff204358.jpg?ts=1745676379;https://cdn.grofers.com/da/cms-assets/cms/product/6ab19851-5fc0-4c22-9f83-3227cf9b3055.jpg,2,0
blinkit,Household Insecticides,34742,523321,523321,Terminator Eco-Friendly Termite Killer Disinfectant Spray,Terminator,185,176,320 ml,True,2,2,Disinfectant Sprays,Disinfectant Spray,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/f07b3d43-7fdc-4caa-8d52-52b243c2abf9.jpg?ts=1719473007;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/9b742862-2d30-4988-95ff-f045d90dd258.jpg?ts=1719473009;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/46d6980d-4cbb-47ee-a5cb-b206b6c16af0.jpg?ts=1719473010;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/ff238131-dc1a-456f-b3e4-ee6f2c48f42c.jpg;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/b38d6468-745d-4cfb-8263-431f9a7c2b1a.jpg;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/1e6955cf-8728-4206-b004-f60c2ae2d559.jpg;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/3e3c74a2-cd6e-48bb-a624-9ee8f234dcef.jpg;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/215d9b2b-6b2a-4b8f-ab0b-a01dab7b137d.jpg,3,4.504000
blinkit,Household Insecticides,30566,661470,661470,Pot and Bloom Natural Protection Pest Control for Plants,Pot and Bloom,426,319,250 ml,True,1,1,Sprays,Pest Control,https://cdn.grofers.com/da/cms-assets/cms/product/3d728c97-5b56-4327-96bd-791d15c1029b.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/76ff00f3-5fa1-44fb-b077-6f8052c873b9.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/5f236c92-18e2-4845-ba62-1553fee87cfb.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/9d0d862b-0cfe-49fd-a982-9d884c2b227d.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/4261715e-040c-4eb7-9eea-137c60c108de.jpg,4,0
blinkit,Household Insecticides,34742,556245,556245,Herbal Strategi Termite Insect Repellent Spray,Herbal Strategi,240,240,100 ml,True,3,3,Sprays,Insect Repellent,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/1a5c0ff0-f3fe-4172-96be-87408bf7886f.jpg?ts=1718488252;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/01c6de0f-3300-4a6e-82f3-dec846e4ef85.jpg?ts=1718488252;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/a02ac30b-2086-4236-afc8-3412f943f3f6.jpg?ts=1718488253;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/cbaf256d-a053-4f68-8942-20fb964442db.jpg?ts=1718488254;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/7fb4b4a4-b406-40fc-b234-0d29c7107f69.jpg?ts=1718488255;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/988cd090-c2c2-4d9b-9938-ef1998bbe26c.jpg?ts=1718488255;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/9664e476-f65b-4822-85bc-b01fcdf4e399.jpg?ts=1718488256;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/66b18b5a-d769-4ee8-8248-4cf2fb5bba07.jpg?ts=1718488257,5,4.607000
blinkit,Household Insecticides,34742,551900,551900,Wonder Fresh Boric Acid Powder,Wonder Fresh,299,200,200 g,True,1,1,Insect Repellants,Boric Acid Powder,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/7292a741-035e-4a86-af2e-79e34a06324f.jpg;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/04b5bccf-7817-4e50-853e-074033e09fce.jpg;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/d6fd448c-488b-4273-8e92-b322dec1bd18.jpg;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/13b58f76-4d89-4b47-be90-6c80b2f700e7.jpg;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/6910c101-9566-49d3-9bbb-a625c6e558be.jpg;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/770476c6-2fe1-4449-88d6-9d05bd87384d.jpg;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/b5ea8949-7b30-4675-b1ed-3ec77d628454.jpg,6,4.385000
blinkit,Household Insecticides,34742,441856,441856,Herbal Strategi 100% Herbal Floor Cleaner (Natural Disinfectant & Insect Repellent),Herbal Strategi,116,116,500 ml,True,2,2,Floor Cleaners and Phenyl,Herbal Floor Cleaner,https://cdn.grofers.com/app/images/products/sliding_image/441856a.jpg?ts=1681534728;https://cdn.grofers.com/app/images/products/sliding_image/441856b.jpg?ts=1681534728;https://cdn.grofers.com/app/images/products/sliding_image/441856c.jpg?ts=1681534728;https://cdn.grofers.com/app/images/products/sliding_image/441856d.jpg?ts=1681534728,7,4.664000
blinkit,Household Insecticides,34742,484532,484532,Herbal Strategi 100% Herbal Floor Cleaner (Natural Disinfectant & Insect Repellent) - Pack of 2,Herbal Strategi,232,230,2 x 500 ml,True,1,1,Floor Cleaners and Phenyl,Herbal Floor Cleaner,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/f54b55fb-683c-4063-9e3e-fcccefb7a7b8.jpg?ts=1716873918;https://cdn.grofers.com/app/images/products/sliding_image/484532a.jpg?ts=1710347366;https://cdn.grofers.com/app/images/products/sliding_image/484532b.jpg?ts=1710347366;https://cdn.grofers.com/app/images/products/sliding_image/484532c.jpg?ts=1710347366;https://cdn.grofers.com/app/images/products/sliding_image/484532d.jpg?ts=1710347366,7,0
blinkit,Household Insecticides,30566,650292,650292,Mr. Right Termite Repellent Spray,Mr. Right,299,249,100 ml,True,1,1,Insect Repellants,Termite Repellent,https://cdn.grofers.com/da/cms-assets/cms/product/f5a183d6-0438-42ed-b27e-e3f72442dd82.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/4b227312-bdbe-48c1-99ca-afc156c3098f.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/b914a836-522f-4b8f-be7f-30bd513799ee.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/544b60f8-89d7-436b-891a-0a6f207e4823.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/91cd1ea1-c4e8-4cc4-a478-6b46d2893164.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/e53ed787-b128-42ef-985b-6129029f2b2e.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/da12ae13-c560-46bf-8df5-81100839e99e.jpg,8,0
